UserID,TrackId,rating
199810,208019,0
199810,74139,80
199810,9903,0
199810,242681,0
199810,18515,70
199810,105760,250
199812,276940,0
199812,142408,360
199812,130023,360
199812,29189,80
199812,223706,180
199812,211361,0
199813,188441,170
199813,20968,160
199813,21571,180
199813,79640,250
199813,184173,150
199813,111874,160
199814,122375,0
199814,189043,150
199814,122429,0
199814,52519,0
199814,232332,200
199814,262193,150
199815,64345,180
199815,118841,0
199815,275682,440
199815,30062,320
199815,258473,310
199815,129866,0
199816,274758,0
199816,102153,360
199816,183464,0
199816,23616,270
199816,81699,360
199816,46627,180
199817,83722,200
199817,200166,200
199817,148603,0
199817,88745,0
199817,144775,200
199817,222966,0
199818,141875,160
199818,290905,0
199818,59789,230
199818,283698,80
199818,106788,500
199818,235999,180
199819,202308,0
199819,36793,163
199819,247549,0
199819,214280,0
199819,123424,0
199819,193003,170
199820,235240,180
199820,292341,0
199820,126082,90
199820,142163,90
199820,20067,180
199820,286335,90
199821,231569,80
199821,51933,0
199821,16949,170
199821,34642,0
199821,229894,170
199821,42811,0
199822,47402,310
199822,21317,270
199822,185734,0
199822,92685,30
199822,110099,130
199822,33495,230
199823,21593,80
199823,132124,340
199823,170625,170
199823,30365,50
199823,143570,110
199823,254625,110
199824,281826,230
199824,253265,30
199824,48891,230
199824,33980,120
199824,207963,260
199824,126528,0
199826,48808,90
199826,223958,0
199826,179298,0
199826,5121,0
199826,31975,80
199826,38775,80
199827,92599,0
199827,75369,160
199827,184197,260
199827,183841,260
199827,197936,260
199827,138391,80
199830,36027,180
199830,29249,180
199830,221237,180
199830,123579,180
199830,19694,270
199830,255036,90
199838,6143,0
199838,24607,80
199838,95726,80
199838,46697,0
199838,256209,180
199838,266780,260
199839,7477,0
199839,266143,0
199839,291820,0
199839,196470,0
199839,263222,0
199839,225097,180
199844,77700,0
199844,138272,90
199844,140229,0
199844,43472,0
199844,118108,0
199844,81165,90
199845,189985,0
199845,31440,60
199845,169945,170
199845,95594,0
199845,238400,330
199845,100669,80
199846,273378,0
199846,19705,50
199846,20499,160
199846,101984,50
199846,214726,0
199846,61792,0
199847,44444,0
199847,39446,190
199847,282901,290
199847,63072,0
199847,19595,190
199847,127769,290
199853,54037,80
199853,89981,200
199853,256134,0
199853,213546,80
199853,222196,180
199853,161111,280
199854,226277,110
199854,92910,210
199854,214592,160
199854,20999,0
199854,154755,0
199854,228397,0
199855,252693,170
199855,69487,0
199855,24631,0
199855,50032,170
199855,277150,30
199855,4836,330
199858,142462,70
199858,255065,70
199858,85596,0
199858,269486,420
199858,30595,180
199858,37731,160
199859,22400,0
199859,105128,330
199859,2877,190
199859,51667,0
199859,289911,290
199859,17,0
199861,192584,90
199861,56525,90
199861,94381,180
199861,249701,90
199861,127111,0
199861,77154,180
199862,80123,0
199862,108161,90
199862,179298,0
199862,280411,0
199862,196729,90
199862,225847,230
199863,222604,180
199863,126413,250
199863,144718,180
199863,241999,0
199863,184020,260
199863,249930,160
199866,142729,0
199866,117929,90
199866,252600,180
199866,125126,0
199866,46889,50
199866,291314,140
199868,24085,140
199868,80589,0
199868,79604,0
199868,218286,0
199868,122067,0
199868,257899,0
199873,8379,160
199873,217580,160
199873,65230,70
199873,65855,160
199873,241597,170
199873,187050,170
199876,257097,230
199876,277360,340
199876,69317,160
199876,47894,50
199876,102449,340
199876,267088,0
199880,266143,0
199880,224615,180
199880,154327,0
199880,14107,181
199880,22640,0
199880,133341,0
199882,146575,140
199882,192238,20
199882,109824,0
199882,125958,310
199882,79309,140
199882,42782,300
199884,36155,0
199884,5444,230
199884,150640,390
199884,155463,340
199884,247800,180
199884,152366,80
199886,134307,0
199886,255399,0
199886,155743,200
199886,151269,180
199886,200432,0
199886,87913,100
199890,114634,190
199890,151926,80
199890,190001,80
199890,286440,80
199890,48289,0
199890,141713,160
199891,32135,90
199891,244657,180
199891,117789,0
199891,45103,0
199891,279606,270
199891,280110,0
199894,279067,320
199894,15811,250
199894,250006,320
199894,31746,470
199894,251949,70
199894,9592,70
199895,195551,180
199895,69797,270
199895,59891,80
199895,249919,0
199895,229468,280
199895,276415,80
199896,175151,170
199896,101756,0
199896,222456,280
199896,183890,400
199896,42748,0
199896,59296,0
199899,30902,170
199899,54300,0
199899,46394,0
199899,236744,170
199899,40880,0
199899,210352,90
199900,219739,0
199900,287949,0
199900,23822,90
199900,44210,0
199900,261886,90
199900,110099,0
199902,111243,270
199902,124466,250
199902,263958,360
199902,249140,0
199902,298,0
199902,127445,250
199907,64481,170
199907,61826,170
199907,54636,80
199907,52391,0
199907,172050,170
199907,78355,80
199911,152843,0
199911,23252,80
199911,170920,157
199911,21878,150
