199810,208019
199810,74139
199810,9903
199810,242681
199810,18515
199810,105760
199812,276940
199812,142408
199812,130023
199812,29189
199812,223706
199812,211361
199813,188441
199813,20968
199813,21571
199813,79640
199813,184173
199813,111874
199814,122375
199814,189043
199814,122429
199814,52519
199814,232332
199814,262193
199815,64345
199815,118841
199815,275682
199815,30062
199815,258473
199815,129866
199816,274758
199816,102153
199816,183464
199816,23616
199816,81699
199816,46627
199817,83722
199817,200166
199817,148603
199817,88745
199817,144775
199817,222966
199818,141875
199818,290905
199818,59789
199818,283698
199818,106788
199818,235999
199819,202308
199819,36793
199819,247549
199819,214280
199819,123424
199819,193003
199820,235240
199820,292341
199820,126082
199820,142163
199820,20067
199820,286335
199821,231569
199821,51933
199821,16949
199821,34642
199821,229894
199821,42811
199822,47402
199822,21317
199822,185734
199822,92685
199822,110099
199822,33495
199823,21593
199823,132124
199823,170625
199823,30365
199823,143570
199823,254625
199824,281826
199824,253265
199824,48891
199824,33980
199824,207963
199824,126528
199826,48808
199826,223958
199826,179298
199826,5121
199826,31975
199826,38775
199827,92599
199827,75369
199827,184197
199827,183841
199827,197936
199827,138391
199830,36027
199830,29249
199830,221237
199830,123579
199830,19694
199830,255036
199838,6143
199838,24607
199838,95726
199838,46697
199838,256209
199838,266780
199839,7477
199839,266143
199839,291820
199839,196470
199839,263222
199839,225097
199844,77700
199844,138272
199844,140229
199844,43472
199844,118108
199844,81165
199845,189985
199845,31440
199845,169945
199845,95594
199845,238400
199845,100669
199846,273378
199846,19705
199846,20499
199846,101984
199846,214726
199846,61792
199847,44444
199847,39446
199847,282901
199847,63072
199847,19595
199847,127769
199853,54037
199853,89981
199853,256134
199853,213546
199853,222196
199853,161111
199854,226277
199854,92910
199854,214592
199854,20999
199854,154755
199854,228397
199855,252693
199855,69487
199855,24631
199855,50032
199855,277150
199855,4836
199858,142462
199858,255065
199858,85596
199858,269486
199858,30595
199858,37731
199859,22400
199859,105128
199859,2877
199859,51667
199859,289911
199859,17
199861,192584
199861,56525
199861,94381
199861,249701
199861,127111
199861,77154
199862,80123
199862,108161
199862,179298
199862,280411
199862,196729
199862,225847
199863,222604
199863,126413
199863,144718
199863,241999
199863,184020
199863,249930
199866,142729
199866,117929
199866,252600
199866,125126
199866,46889
199866,291314
199868,24085
199868,80589
199868,79604
199868,218286
199868,122067
199868,257899
199873,8379
199873,217580
199873,65230
199873,65855
199873,241597
199873,187050
199876,257097
199876,277360
199876,69317
199876,47894
199876,102449
199876,267088
199880,266143
199880,224615
199880,154327
199880,14107
199880,22640
199880,133341
199882,146575
199882,192238
199882,109824
199882,125958
199882,79309
199882,42782
199884,36155
199884,5444
199884,150640
199884,155463
199884,247800
199884,152366
199886,134307
199886,255399
199886,155743
199886,151269
199886,200432
199886,87913
199890,114634
199890,151926
199890,190001
199890,286440
199890,48289
199890,141713
199891,32135
199891,244657
199891,117789
199891,45103
199891,279606
199891,280110
199894,279067
199894,15811
199894,250006
199894,31746
199894,251949
199894,9592
199895,195551
199895,69797
199895,59891
199895,249919
199895,229468
199895,276415
199896,175151
199896,101756
199896,222456
199896,183890
199896,42748
199896,59296
199899,30902
199899,54300
199899,46394
199899,236744
199899,40880
199899,210352
199900,219739
199900,287949
199900,23822
199900,44210
199900,261886
199900,110099
199902,111243
199902,124466
199902,263958
199902,249140
199902,298
199902,127445
199907,64481
199907,61826
199907,54636
199907,52391
199907,172050
199907,78355
199911,152843
199911,23252
199911,170920
199911,21878
199911,50179
199911,229538
199912,252021
199912,125831
199912,233293
199912,286721
199912,87357
199912,188926
199914,284745
199914,137479
199914,94531
199914,295555
199914,262472
199914,78278
199915,118642
199915,252839
199915,232361
199915,11535
199915,266171
199915,29554
199918,251164
199918,114265
199918,103426
199918,138333
199918,150958
199918,242417
199920,237580
199920,138590
199920,77933
199920,247578
199920,144100
199920,106344
199921,48891
199921,175928
199921,143902
199921,95242
199921,198864
199921,76816
199924,108161
199924,16078
199924,120535
199924,54651
199924,49904
199924,62568
199926,142473
199926,180224
199926,73940
199926,44783
199926,139444
199926,41368
199928,137693
199928,87125
199928,171481
199928,251278
199928,65142
199928,215837
199931,140334
199931,90442
199931,161183
199931,242657
199931,149874
199931,122518
199932,131954
199932,68360
199932,119027
199932,284320
199932,104542
199932,2924
199934,222840
199934,18198
199934,37960
199934,250816
199934,170214
199934,44222
199936,32596
199936,12969
199936,216902
199936,89110
199936,71574
199936,245276
199937,20538
199937,151964
199937,171735
199937,163166
199937,95326
199937,270004
199939,111062
199939,223859
199939,165847
199939,245574
199939,171700
199939,12922
199941,135759
199941,261128
199941,220067
199941,191060
199941,45668
199941,92843
199944,67182
199944,281157
199944,18733
199944,166911
199944,181496
199944,118642
199947,107099
